guna_word,spanish_word,synonyms,english_word,english_synonyms
Waggaga,Idioma extranjero,,Foreign language,#VALUE!
Waggaya,Idioma extranjero,,Foreign language,#VALUE!
Birgine,Encima,"Sobre, , , , ",Above,"On, , , ,"
Waggagga,Idioma extranjero,,Foreign language,#VALUE!
Waggindiid,Prófugo,"Fugitivo, , , , ",Fugitive,"Fugitive,,,,"
Wagginned,Escaparse,"Huir, Fugarse, , , ",Escape,"Flee, escape,,,"
Waggudaryala,Muy temprano,,Very early,#VALUE!
Wagi,Lora de cabeza azul,,Lora blue head,#VALUE!
Wagibler,Nele de la historia,"Especialista de aves, , , , ",Nele history,"Specialist poultry,,,,"
Wagibelele,Nele de la historia,"Especialista de aves, , , , ",Nele history,"Specialist poultry,,,,"
Wagmadun,Banano,,Banana,#VALUE!
Wagneg,Ciudad,"Comunidad de extranjero, , , , ",City,"Community abroad,,,,"
Waganega,Ciudad,"Comunidad de extranjeros, , , , ",City,"Foreign community,,,,"
Asgun,Boca abajo,,prone,#VALUE!
Wago,Primera criatura  en la tierra," Padre de arboles, , , , ",First creature on earth," Father of trees,,"
Wagub,Ñame,,Yam,#VALUE!
Wagwa,Nieto,,grandchild,#VALUE!
Waladiggi,Mojado,"Empapado, , , , ",Wet,"Soggy, , , ,"
Waragwa,Mojado,,Wet,#VALUE!
Walar,Alargado,"Largo, , , , ",Elongate,"Long, , , ,"
Walale,Alargado,"Largo, , , , ",Elongate,"Long, , , ,"
Walig,Cerca,"Junto a, Cerquita, , , ",Near,"Beside, Cerquita,,,"
Waliggagwa,Cerca,"Cerquita, , , , ",Near,"Cerquita,,,,"
Nagaba,Cerca,"Junto a, Pegado a, , , ",Near,"Alongside, Stuck on,,,"
Asmied,Estornudar,,Sneeze,#VALUE!
Iddigigwa,Cerquita,,cerquita,#VALUE!
Waliggued,Arrimarse,,come close,#VALUE!
Moed,Arrimarse,,come close,#VALUE!
Wan,Pene,,Penis,#VALUE!
Wana,Pene,,Penis,#VALUE!
Alu,Pene,,Penis,#VALUE!
Bane,Pene,,Penis,#VALUE!
Wannug,Variedad de palma para techo de la casa,,Variety of palm for house roof,#VALUE!
Waraggwa,Delgado,"Estrecho, , , , ",thin,"Narrow, , , ,"
Waraggwagwa,Delgado,"Estrecho, , , , ",thin,"Narrow, , , ,"
Ismied,Estornudar,,Sneeze,#VALUE!
Waragwa,Mojado,,Wet,#VALUE!
Waladiggi,Mojado,,Wet,#VALUE!
Wardad,Gordo,"Obeso, , , , ",Fat,"Obeso,,,,"
Waladada,Gordo,,Fat,#VALUE!
Wardummad,Gordo,,Fat,#VALUE!
Wardiggued,Mojarse,,Get wet,#VALUE!
Adsiggied,Mojarse,,Get wet,#VALUE!
Wargwen,Uno,"Objeto alargado, , , , ",One,"Elongate object,,"
Walagwena,Uno,,One,#VALUE!
Wari,Ñampí,,ñampí,#VALUE!
Asmu,Variedad de abejas,,Variety of bees,#VALUE!
Warmagged,Llegar,"Alcanzar, Lograr, , , ",Get,"Achieve, achieve,,,"
Wasa,Bebé,"Nene, , , , ",Baby,"Nene,,,,"
Goe,Bebé,"Venado, , , , ",Baby,"Deer,,,,"
Wawadiggi,Perfumado,"Oloroso, , , , ",Scented,"Oloroso,,,,"
Wawagwa,Pefumado,"Oloroso, , , , ",I pefumado,"Oloroso,,,,"
Wawanmagged,Temblar,"Tiritar, , , , ",Tremble,"Shivering,,,,"
We,Este,"Esta, Ese, , , ",East,"This, That,,,"
Wedi,Este,"Esta, Ese, , , ",East,"This, That,,,"
Iddi,Este,"Esta, Ese, , , ",East,"This, That,,,"
Weba,Allá,"Lejos, Distante, , , ",There,"Far Distant,"
Webali,Por allá,,Over there,#VALUE!
Abbinnii,Septiembre,,September,#VALUE!
Adsa,Variedad de abejas,,Variety of bees,#VALUE!
Wedar,Saíno,"Puerco de monte, , , , ",Peccary,"Peccary,,,,"
Weed,Recoger,"Acopiar, , , , ",Collect,"Collect,,,,"
Bised,Recoger,,Collect,#VALUE!
Weggo,Halcón,,Hawk,#VALUE!
WegiAquí,Acá,,Here,#VALUE!
Wegine,Aquí,"Acá, , , , ",Here,"Here,,"
Wegii,Así,,A) Yes,#VALUE!
Weyob,Así,"De esta manera, , , , ",A) Yes,"In this way, , , ,"
Weligwar,Feliz,"Radiante, , , , ",Happy,"Heating,,,,"
Weligwale,Feliz,,Happy,#VALUE!
Assaed,Dar señas,"Molestar, , , , ",show signs,"Bother, , , ,"
Wergued,Disfrutar,"Gozar, Alegrarse, , , ",Enjoy,"Enjoy, rejoice,,,"
Werug,Guágara,,guagara,#VALUE!
Werwer,Tucán,,Toucan,#VALUE!
Wesar,Cuchara,"Cucharón, , , , ",Spoon,"Ladle,,,,"
Wese,Fin,"Hasta aquí, , , , ",The end,"Up to this point, , , ,"
Bela,Fin,"Hasta aquí, , , , ",The end,"Up to this point, , , ,"
Wesig,Hacia allá,,Over there,#VALUE!
Egesig,Hacia allá,,Over there,#VALUE!
Iddisig,Hacia allá,,Over there,#VALUE!
Wewe,Grillo pequeño de la arena,,Small cricket arena,#VALUE!
Assirmagged,Rasgarse algún tejido,,A tissue tear,#VALUE!
Weyob,Así,"De esta manera, , , , ",A) Yes,"In this way, , , ,"
Wegii,Así," De esta manera, , , , ",A) Yes," In this way, , , ,"
Wiagged,Escupir,,Spit,#VALUE!
Wiaged,Escupir,,Spit,#VALUE!
Widsub,Hicaco,,Hicaco,#VALUE!
Wied,Pereza,,Sloth,#VALUE!
Wiegala,Perezoso,"Vago, , , , ",Lazy,"Vague, , , ,"
Wigoed,Silbar,,Whistle,#VALUE!
Wii,Saliva,"Baba, , , , ",Saliva,"Baba,,,,"
Galis,Saliva,,Saliva,#VALUE!
Assu,Jaguar,"Perro, , , , ",Jaguar,"Dog, , , ,"
Gaglis,Saliva,,Saliva,#VALUE!
Wila,Hondo del mar o de río,,Hondo to the sea or river,#VALUE!
Wilasagla,Aguas muy profundas,,Deep waters,#VALUE!
Wiledagged,Commoverse ante alguien,,Commoverse to someone,#VALUE!
Wileged,Sufrir,"Empobrecido, Falto de, , , ",Suffer,"Impoverished, lacking,,,"
Wileiddoged,Tristeza,"Pesadumbre, , , , ",Sadness,"Grief,,"
Buggibbinsaed,Tristeza,,Sadness,#VALUE!
Wilub,Señal,"Símbolo, , , , ",Signal,"I symbol,,,,"
Wilubira,Igual,"Justo, , , , ",Same,"Fair, , , ,"
Wilubbiragwa,Igual,"Justo, , , , ",Same,"Fair, , , ,"
Assunned,Abrise la flor,"brotar, , , , ",Abrise flower,"to sprout, , , ,"
Wilubdagged,Experimentar,"Probar, , , , ",To experience,"Try out, , , ,"
Wilubgan,Simbolismo,,Symbolism,#VALUE!
Burbagan,Simbolismo,,Symbolism,#VALUE!
Wilubsaed,Probar,"Medir, , , , ",Try out,"To size, , , ,"
Wilubimagged,Probar,"Medir, , , , ",Try out,"To size, , , ,"
Wimagged,Sudar,"Transpirar, , , , ",Sweat,"Perspire,,,,"
Wini,Abalorio,"Collar, Chaquira, , , ",Bead,"Necklace, beads,,,"
Wingwa,Abalorio,,Bead,#VALUE!
Winnaed,Orinar,,To pee,#VALUE!
Magasdagged,Orinar,,To pee,#VALUE!
Asu,Nariz,,Nose,#VALUE!
Winni,Orina,"Oríne, , , , ",Urine,"Urinate,,,,"
Winonied,Deseñador abalorios para dorno,,Deseñador beads for dorno,#VALUE!
Wirgued,Medida de profundidad de liquido,,Liquid depth measurement,#VALUE!
Wirsob,Golondrina,,Swallow,#VALUE!
Gigsiggwi,Golondrina,,Swallow,#VALUE!
Wirwir,Batidora,,Mixer,#VALUE!
Wisde,No sé," Quien sabe, , , , ",I dont know," Who knows, , , ,"
Wissurmo,No sé,,I dont know,#VALUE!
Wissuli,No sé,,I dont know,#VALUE!
Wisgued,Saber,"Conocer, Estar al tanto, , , ",To know,"Knowing, Being the therefore,"
Asudug,Punta de la nariz,"Delantera,  el que va primero, , , ",Tip of the nose,"Front, who goes first,"
Yaa,Puerta,"Portón, , , , ",Door,"Gate,,"
Yawagag,Puerta,"Portón, , , , ",Door,"Gate,,"
Yawag,Puerta,,Door,#VALUE!
Yaagwa,Señorita,"Joven, Soltera, , , ",Miss,"Young, Single,,,"
Yaaleged,Paso a la pubertad,,Step puberty,#VALUE!
Sergued,Paso a pubertad,,Step by puberty,#VALUE!
Yaba,Dentro,"Adentro, , , , ",Inside,"I in,,,,"
Yaaba,Dentro,"Adentro, , , , ",Inside,"I in,,,,"
Yabba,No,"No desear algo, , , , ",No,"Not wanting something,,,,"
Suli,No,,No,#VALUE!
Asuduggu,Punta de la nariz,"Delantera, El que va primero, , , ",Tip of the nose,"Front, who goes first,"
Yabbanned,Olor,,Odor,#VALUE!
Abbanned,Olor,,Odor,#VALUE!
Yabi,Llave,,Key,#VALUE!
Yabised,Llavero,,Key chain,#VALUE!
Yagganna,Bastante grande,,Pretty big,#VALUE!
Yaibaa,Bastante grande,,Pretty big,#VALUE!
Yagged,Gotear,,Drip,#VALUE!
Deemagged,Gotear,,Drip,#VALUE!
Yaggumagged,Cabecear,,Head,#VALUE!
Yagguyaggud,Cojo,"Dar brincos, , , , ",Lame,"Skipping,,,,"
Aswe,Aguacate,,Avocado,#VALUE!
Muyamuyad,Cojo,,Lame,#VALUE!
Yaigwa,De tamaño menor,"No tan pequeño, , , , ",Smaller size,"Not so small,,,,"
Yaisaale,No tan pequeño,,Not so small,#VALUE!
Senigwa,De tamaño menor,,Smaller size,#VALUE!
Yassuli,Cuantioso,"Abundante, , , , ",Large,"Abundant, , , ,"
Buggidara,Abundante,,Abundant,#VALUE!
Nagege,Cuantioso,"Abundante, , , , ",Large,"Abundant, , , ,"
Yala,Montaña,"Territorio, , , , ",Montana,"Territory, , , ,"
Yaladela,Pez pargo sesí,,Red snapper fish,#VALUE!
Bunnugoro,Pez pargo sesí,,Red snapper fish,#VALUE!
Aurmagged,Ardor,"Picor, , , , ",Burning,"Itchiness,,,,"
Yallile,Sordo,"No sigue órdenes, , , , ",Deaf,"Not following orders,,"
Yamodaed,Aparentar,"Simular, Fingir, , , ",feign,"Simulate, Pretending,"
Yannu,Jabalí,,Wild pig,#VALUE!
Yanwan,Taladro,"Broca, , , , ",Drill,"Drill, , , ,"
Yarba,Al lado,"Inmediatamente después, , , , ",Next to,"Immediately after, , , ,"
Yalaba,Al lado,,Next to,#VALUE!
Yarbi,Anguila,,Eel,#VALUE!
Yarbir,Cima,"Cumbre, , , , ",Top,"Summit, , , ,"
Yalabiri,Cima,"Cumbre, , , , ",Top,"Summit, , , ,"
Yalabilli,Cima,"Cumbre, , , , ",Top,"Summit, , , ,"
Abbured,Enredarse,,Tangle,#VALUE!
Aya,Amigo,"Compañero, Conocido, Aliado, , ",Friend,"Companion, known, Allied,"
Yarduddur,Cima,"Cumbre, , , , ",Top,"Summit, , , ,"
Yarburwa,Viento del sur,,South wind,#VALUE!
Yalaburwa,Viento del sur,,South wind,#VALUE!
Yardagged,Competir,"Disputar, , , , ",To compete,"Play,,"
Yargan,Espalda,"Dorso, , , , ",Back,"Dorso,,,,"
Yarmoro,Tortuga de monte,,Turtle Mount,#VALUE!
Morogoi,Tortuga de monte,,Turtle Mount,#VALUE!
Yarolo,Cerro,"Montaña de poca altura, , , , ",Hill,"Low-rise mountain,,"
Yalaolo,Cerro,,Hill,#VALUE!
Yaug,Tortuga,"Carey, , , , ",Tortoise,"Carey,,,,"
Ai,Amigo,"Compañero, Conocido, Aliado, , ",Friend,"Companion, known, Allied,"
Yaugnii,Mayo,,May,#VALUE!
Yeer,Bueno,"Bonito, , , , ",Okay,"Nice, , , ,"
Yeerba,Bueno,"Bonito, , , , ",Okay,"Nice, , , ,"
Yegued,Cansarse,"Fatigarse, , , , ",Get tired,"Fatiguing,,,,"
Geggued,Cansarse,,Get tired,#VALUE!
Yobbiragwad,Equitativo,,Equitable,#VALUE!
Yobbo,Inflamación de ganglios,,Swollen glands,#VALUE!
Yobi,Igual,"Como, , , , ",Same,"As, , , ,"
Emala,Igual,,Same,#VALUE!
Nayobi,Igual,,Same,#VALUE!
Ayagwale,Amistad,"Amistoso, , , , ",Friendship,"Friendly, , , ,"
Yobiyobi,De igual cantidad,,Same amount,#VALUE!
Yoed,Meter,"Conectar, Poner, Asar, , ",To put,"Connecting up, Asar,"
Yoggor,Rodilla,,Knee,#VALUE!
Yogsaar,De cualquier manera,,Either way,#VALUE!
Yogasaale,De cualquier manera,,Either way,#VALUE!
Yola,Verano,"Sin lluvia, , , , ",Summer,"Without rain, , , ,"
Yolasagla,Día claro,"Sin lluvia, , , , ",Clear Day,"Without rain, , , ,"
Yoleba,Veranillo,,veranillo,#VALUE!
Yoleged,Tropezarse,"Encallar, , , , ",Tripping,"Aground,,,,"
Yolle,Ladeado,"Inclinado, , , , ",Lopsided,"Inclined,,"
Aigwalw,Amistad,"Amistoso, , , , ",Friendship,"Friendly, , , ,"
Yoreged,Ladeado,"Inclinado, , , , ",Lopsided,"Inclined,,"
Yollemagged,Ladearse,,Tilt,#VALUE!
Yollemaggerba,Que se ladea mucho,,That tilts a lot,#VALUE!
Yolleyolle,Que se ladea mucho,,That tilts a lot,#VALUE!
Yoo,Todavía no,,Not yet,#VALUE!
Yoogwe,Todavía,"Aún no, , , , ",Still,"Not yet, , , ,"
Anbayoo,Todavía no,,Not yet,#VALUE!
Yoddedaed,Indecoroso,"Impúdico, , , , ",Improper,"Impudent,,,,"
Yoreged,Ladeado,"Inclinado, , , , ",Lopsided,"Inclined,,"
Yolle,Ladeado,"Inclinado, , , , ",Lopsided,"Inclined,,"
Ayaleged,Amistarse,,befriend,#VALUE!
Yorgued,Dejar de llover,"Escampar, , , , ",Stop raining,"Escampar,,,,"
Yornii,Enero,,January,#VALUE!
Yolanii,Enero,,January,#VALUE!
Yoruggu,Mediodía,,Midday,#VALUE!
Dadyoruggu,Mediodía,,Midday,#VALUE!
Balibi,Igual,,Same,#VALUE!
Bengile,A credito,,On credit,#VALUE!
Binasdiggi,Poco a poco,,Slowly,#VALUE!
Binsar,Gratis,,Free,#VALUE!
Esuwar,,,#VALUE!,#VALUE!
Aileged,Amistarse,,befriend,#VALUE!
Argar,Interprete,,Interpreter,#VALUE!
Baba,Gran Padre,"Ser supremo, , , , ",great Father,"Supreme Being,,,,"
Biired,Torcido,,Distorted,#VALUE!
Diirmagged,Corriente fluvial,,current river,#VALUE!
Eswar,Chuzo,,chuzo,#VALUE!
Negburgandagged,Soñar,,Sound,#VALUE!
Uboged,Ingresar,,deposit,#VALUE!
Aye,Sí,"De acuerdo, , , , ",Yes,"Agree, , , ,"
Eye,Sí,"De acuerdo, , , , ",Yes,"Agree, , , ,"
Baa,Tres,,Three,#VALUE!
Baabag,Ocho,"Octavo, , , , ",Eight,"Eighth,,,,"
Abured,Confundirse,,Get confused,#VALUE!
Baagagga,Ocho,"Ocatvo, , , , ",Eight,"I ocatvo,,,,"
Bab,Papà,"Padre, Progenitor, , , ",Pope,"Father, father,,,"
Baba,Papà,"Padre, Progenitor, , , ",Pope,"Father, father,,,"
Babdummad,Gran Padre,"Ser Supremo, , , , ",great Father,"Supreme Being,,,,"
Babbarmagged,Rodar,"Girar, Ser arrastrado, , , ",Roll,"Turn, being dragged,,,"
Babbibabbi,Arrugado,"Ajado, , , , ",Wrinkled,"I rumpled,,,,"
Babdummad,Gran Padre,"Ser supremo, , , , ",great Father,"Supreme Being,,,,"
Antepasados,,,#VALUE!,#VALUE!
Dadgan,Antepasados,,Ancestors,#VALUE!
Babigar,Camino de Baba,"Tratado de Baba y Nana, , , , ",Baba Road,"Treaty Baba and Nana,,,,"
Abdagged,Esperar,,Wait,#VALUE!
Babigala,Camino de Baba y Nana," Tratado de Baba y Nana, , , , ",Baba and Nana Road," Treaty Baba and Nana,,,,"
Babneg,Morada de Baba y Nana,,Baba and Nana Residence,#VALUE!
Babnega,Morada de Baba y Nana,,Baba and Nana Residence,#VALUE!
Babome,Madrastra,,Stepmother,#VALUE!
Abuelo,,,#VALUE!,#VALUE!
Babsered,Abuelo,,Grandfather,#VALUE!
Badde,Plato,"Bandeja, Platillo, , , ",Plate,"Tray, Saucer,"
Badded,Caerse,"Bajar, , , , ",Fall down,"Go down, , , ,"
Baddesuwar,Vasija de madera para amasar,,Wooden bowl to knead,#VALUE!
Baddiggwa,Tortuga de agua dulce,"Jocotea, , , , ",Terrapin,"Jocotea,,,,"
Abiddoged,Aguardar,,Wait,#VALUE!
Badir,Sacerdote,"Cura, , , , ",Priest,"Cure, , , ,"
Badu,Pato,"ànade, oca, , , ",Duck,"Duck, goose,"
Baged,Abstenerse,,to refrain,#VALUE!
Bagga,Ballena,,Whale,#VALUE!
Baggar,Exresiòn franca,"Directa, De frente, Comprado, , , ",Exresiòn franca,"Direct, front, Purchased,"
Baggale,Expresiòn franca,"Directa, De frente, Comprado, , ",frank expression,"Direct, front, Bought,"
Bagged,Comprar,"Adquirir, , , , ",To buy,"Acquire,,,,"
Baglawar,Guayacàn,,GUAYACAN,#VALUE!
Bugasui,Hermano de Ibeler,"Venus, Lucero, , , ",Brother Ibeler,"Venus, Lucero,,,"
Baglawala,Guayacàn,,GUAYACAN,#VALUE!
Baid,Otro,"Ademàs, , , , ",Other,"Also, , , ,"
Aaga,Por eso,,Because,#VALUE!
Edarbed,Ir al encuentro,,Go to the meeting,#VALUE!
Baidi,"Otro,Además",,"Another, also",#VALUE!
Baisuli,No importa,"No vale la pena, , , , ",Never mind,"Not worth it, , , ,"
Bala,Nuera,,Daughter in law,#VALUE!
Baled,Introducir liquido en recipiente,,Introducing liquid into the container,#VALUE!
Baleginned,Perseguir,"Ir detrás de, , , , ",Chase,"Go behind,,"
Balibali,Frecuentemente,"Siempre, Repetidas veces, , , ",Frequently,"Always, again and again,,,"
Balibalidi,Frecuentemente,"Siempre, , , , ",Frequently,"Always, , , ,"
Emarbi,Igual,"Lo mismo, Uniforme, , , ",Same,"The same, Uniform,,,"
Baliwiddur,Espìritu guia,"Custodio, Guardian, Protector, , ",Spirit guides,"Guardian, Guardian, Protector,"
Baliwiddule,Espìritu guia,"Custodia, Guardian, Protector, , ",Spirit guides,"Custody, Guardian, Protector,"
Abe,Sangre,,Blood,#VALUE!
Balu,Sal,,Salt,#VALUE!
Balubalu,Con poca sal,"Saladito, , , , ",Low salt,"Saladito,,,,"
Balurba,Salado,"Pasado de sal,  Salobre, , , ",Salty,"Salt past, Salobre,,,"
Balusagla,Salado,"Pasado de sal, Salobre, , , ",Salty,"Salt past, Salobre,,,"
Baluwar,Arbol de sal,"Simbología de opresiòn, , , , ",Sal tree,"Symbols of oppression,,"
Baluwala,Arbol de sal,"Simbologìa de opresiòn, , , , ",Sal tree,"Symbology of Oppression,,"
Igubwar,Arbol de sal,,Sal tree,#VALUE!
Igubwala,Arbol de sal,,Sal tree,#VALUE!
Banamagged,Tambalearse,"Balancearse, , , , ",Wobble,"Rocking,,,,"
Banbaa,Lejos,"Distante, Alejado, , , ",Far,"Distant, remote,,,"
Ablis,Sangre,,Blood,#VALUE!
Banbagwa,Lejos,"Distante, Alejado, , , ",Far,"Distant, remote,,,"
Bannabaa,Lejos,"Distante, Alejado, , , ",Far,"Distant, remote,,,"
Bander,Bandera,"Estandarte, , , , ",flag,"Banner,,,,"
Suenamor,Bandera,"Estandarte, , , , ",flag,"Banner,,,,"
Suenamola,Bandera,"Estandarte, , , , ",flag,"Banner,,,,"
Bane,Pene,"Miembro viril, , , , ",Penis,"virile member,,,,"
Alu,Pene,"Miembro viril, , , , ",Penis,"virile member,,,,"
Wana,Pene,"Miembro viril, , , , ",Penis,"virile member,,,,"
Bane,Mañana,"Otro dìa, , , , ",morning,"Another day, , , ,"
Baneswida,Tijereta,,Earwig,#VALUE!
Abedub,Vena,,Come to,#VALUE!
Banebane,Adiario,"Diariamente, , , , ",Daily,"Daily, , , ,"
Baneswida,Tijereta,,Earwig,#VALUE!
Bangi,Al otro día,"Al dia siguiente, , , , ",The next day,"The next day, , , ,"
Banegine,Al otro dìa,"Al dia siguiente, , , , ",The next day,"The next day, , , ,"
Banmalo,Hasta mañana,,See you tomorrow,#VALUE!
Banemalo,Hasta mañana,,See you tomorrow,#VALUE!
Banna,A què distancia," Por dónde, , , , ",How far," Where, , , ,"
Bulebanna,A què distancia," Por donde, , , , ",How far," Where, , , ,"
Bansus,Colibrì,"Chupamiel, , , , ",Colibrì,"Chupamiel,,,,"
Barbuloged,Agravar,"Empeorar, Desmejorar, , , ",Aggravate,"Worse, desmejorar,,,"
Abeduba,Arteria,,Artery,#VALUE!
Burgued,Agravar,"Empeorar, Desmejorar, , , ",Aggravate,"Worse, desmejorar,,,"
Bardagged,Acompañar,"Guiar, Acompañante, , , ",Accompany,"Guide, companion,"
Bardani,Al regreso,"A la vuelta, , , , ",A return,"On the way back,,,,"
Bardudnii,Diciembre,,December,#VALUE!
Balududdunii,Diciembre,,December,#VALUE!
Bargaed,Alcanzar,"Controlar, Sostener, Aguantar, , ",Reach,"Control, Hold, Holding,"
Bargo,Burgado,"Bulgao, , , , ",burgado,"Bulgao,,,,"
Bargonus,Burgado,"Bulgao, , , , ",burgado,"Bulgao,,,,"
Bargonusu,Burgado,"Bulgao, , , , ",burgado,"Bulgao,,,,"
Barmayed,Empujar,"Apoyar, Palo superior de una vela, , , ",Push,"Support, superior stick a candle,"
Ablisdudub,Arteria,,Artery,#VALUE!
Barmied,Enviar,"Mandar, Remitir, , , ",Submit,"Mandar, Remit,"
Barsoged,Atestiguar,"Interpretar, , , , ",Witness,"Play, , , ,"
Barwisoged,Imitar,"Remedar, , , , ",Imitate,"Shadowing,,,,"
Baryawar,Arbol de pino,,Pine tree,#VALUE!
Baryawala,Arbol de pino,,Pine tree,#VALUE!
Basgwa,Camaròn,,Shrimp,#VALUE!
Busgu,Camarón,,Shrimp,#VALUE!
Basumagged,Hamaquearse,"Mecerse, Balancearse, Columpiarse, , ",Hamaquearse,"Rocking, Rocking, Swinging,"
Basur,No importa,"No se preocupe, , , , ",Never mind,"Do not worry, , , ,"
Basuli,No importa,"No se preocupe, , , , ",Never mind,"Do not worry, , , ,"
Ablisduba,Arteria,,Artery,#VALUE!
Basursunna,Facilìsimo,"Muy fàcil, , , , ",Easy peasy,"Very easy, , , ,"
Basursunnagwa,Facilìsimo,"Muy fàcil, , , , ",Easy peasy,"Very easy, , , ,"
Be,"Tù, tu",,"You, your",#VALUE!
Bebe,Frente,"Cuerno, , , , ",Front,"Horn,,,,"
Bebesiga,Ceja,,Eyebrow,#VALUE!
Bebi,Tù solo,,You alone,#VALUE!
Quedarse,permanecerse,"Quedarse atràs, , , , ",permanecerse,"Stay behind, , , ,"
Beedse,Exagerado,"Desmedido, grave, , , ",Exaggerated,"Unconscionable, serious,"
Undar,Exagerado,"Desmedido, grave, , , ",Exaggerated,"Unconscionable, serious,"
Obbor,Exagerado,"Desmedido, grave, , , ",Exaggerated,"Unconscionable, serious,"
Abeged,Querer,,Want,#VALUE!
Obbole,Exagerado,"Desmedido, grave, , , ",Exaggerated,"Unconscionable, serious,"
Abbole,Exagerado,"Desmedido, grave, , , ",Exaggerated,"Unconscionable, serious,"
Abbole,Exagerado,"Desmedido, grave, , , ",Exaggerated,"Unconscionable, serious,"
Bela,Fin,"Hasta aquì, , , , ",The end,"Up to this point, , , ,"
Wese,Fin,"Hasta aquì, , , , ",The end,"Up to this point, , , ,"
Belawabba,Sin dejar nada,"Todo, , , , ",Leaving nothing,"Everything, , , ,"
Belagwable,Sin dejar nada,"Todo, , , , ",Leaving nothing,"Everything, , , ,"
Bendagged,Ayudar,"Socorrer, Apoyar, Solidarse, , ",Help,"Succor, support, Solidarse,"
Bengir,A crèdito,,On credit,#VALUE!
Abga,Hacer a tiempo,,Make time,#VALUE!
Bengued,Desconfiar,"No creer,  No poder con el peso, , , ",distrusting,"Not believe, not power with weight,"
Bennuged,Pagar,,Pay,#VALUE!
Naboged,A crèdito,,On credit,#VALUE!
Bensuleged,Ser traicionado por su pareja,,Being betrayed by your partner,#VALUE!
Berbeged,Llevar,"Transportar, acarrear, , , ",Carry,"Transport, trucking,,,"
Bia,Dònde Por dònde,,Where Everywhere,#VALUE!
Biali,Donde,,Where,#VALUE!
Biali,Dònde,"Por dónde, , , , ",Where,"Where, , , ,"
Biali,Dònde,"Por dónde, , , , ",Where,"Where, , , ,"
Bibbigwa,Pequeño,"Diminuto, Menudo, , , ",Little,"Tiny, Menudo,,,"
Bibbinmagged,Revolcarse,,wallow,#VALUE!
Bindumagged,Revolcarse,,wallow,#VALUE!
Abbayala,Enseguida,,Right away,#VALUE!
Bibbirmagged,Dar vueltas,"Girar, , , , ",Spin around,"Turn, , , ,"
Bibyoged,Azotar,"Zurrar, , , , ",To whip,"Pummel,,,,"
Bied,Decir,"Pronunciar, Proferir, Hablar, , ",Say,"Pronounce, Uttering, Talking,"
Soged,Decir,"Pronunciar, Mencionar, Proferir, Hablar, ",Say,"Pronounce, Mentioning, Uttering, Talking,"
Bigbaa,Varios,"Muchos, No pocos, , , ",Various,"Many, not few,"
Issesuli,Muchos,,Many,#VALUE!
Issesuli,Varios,"Muchos, No pocos, , , ",Various,"Many, not few,"
Issesur,Varios,"Muchos, No pocos, , , ",Various,"Many, not few,"
Issesuli,Varios,"Muchos, No pocos, , , ",Various,"Many, not few,"
Bigbi,Abanico,"Ventilador, , , , ",Fan,"Fan, , , ,"
Bignimagged,Darse vueltas,,roll over,#VALUE!
Aagala,Para él,,For him,#VALUE!
Abgan,Cuerpo,,Body,#VALUE!
Bigwa,Cuàntos,,How many,#VALUE!
Melu,Cuàntos,,How many,#VALUE!
Biired,Torcido,"Encorvado, , , , ",Distorted,"Stooping,,"
Bila,Lucha,"Guerra, Combate, , , ",Fight,"War, combat,,,"
Bilaonoged,Combatir,"Guerrear, , , , ",Fight,"War,,,,"
Urwed,Combatir,"Guerrear, , , , ",Fight,"War,,,,"
Biler,Personaje que simboliza el mal,,Character who symbolizes evil,#VALUE!
Olonaiggabaler,Personaje que simboliza el mal,,Character who symbolizes evil,#VALUE!
Bilubilu,Rizado,"Ensortijado, Ondulado, , , ",Curly,"Ensortijado rippled,"
Bina,Hígado,,Liver,#VALUE!
Abgana,Organismo,,Organism,#VALUE!
Binabina,Poco a poco,"Despacio, Lento, Pausado, , ",Slowly,"Slow, Slow, deliberate,"
Binasdiggii,Poco a poco,"Despacio, Lento, Pausado, , ",Slowly,"Slow, Slow, deliberate,"
Binagoled,Hipo,,Hiccup,#VALUE!
Binasdiggii,Poco a poco,"Despacio, Lento, Pausado, , ",Slowly,"Slow, Slow, deliberate,"
Binasgar,Pecho,,Chest,#VALUE!
Binasgala,Pecho,,Chest,#VALUE!
Binasgudsu,Pecho,,Chest,#VALUE!
Bindumagged,Revolcarse,,wallow,#VALUE!
Bibbinmagged,Revolcarse,,wallow,#VALUE!
Binged,Pena,"Verguenza, Rubor, Bochorno, , ",Pain,"Embarrassment, Rubor, Embarrassment,"
Abgayala,Hacer a tiempo,,Make time,#VALUE!
Bingedsulid,Sinverguenza,"Insolente, , , , ",Scoundrel,"Impudent,,,,"
Bingegued,Avergonzarse,"Apenarse, Ruborizarse, , , ",To embarrass,"Distressing, Blushing,,,"
Binibini,Muy nuevo,"Novìsimo, , , , ",Very new,"Novísimo,,,,"
Binid,Nuevo,"Reciente, Intacto, Novedoso, , ",New,"Recent, Intact, fresh,"
Binidi,Nuevo,"Reciente, Intacto, Novedoso, , ",New,"Recent, Intact, fresh,"
Gwabbid,Nuevo,"Reciente, Intacto, Novedoso, , ",New,"Recent, Intact, fresh,"
Gwabbidi,Nuevo,"Reciente, Intacto, Novedeso, , ",New,"Recent, Intact, Novedeso,"
Binnagwa,Lento,"Despacio, Suave, Tardo, , ",Slow,"Slowly, Soft, slow,"
